,geometry,name
0,POINT (103.76568 1.31778),CLEMENTI
0,POINT (103.7658 1.42814),SUNGEI KADUT
0,POINT (103.7659 1.304628),CLEMENTI
0,POINT (103.765928 1.3134205),CLEMENTI
0,POINT (103.76597 1.31323),CLEMENTI
0,POINT (103.765987166667 1.31330233333333),CLEMENTI
0,POINT (103.765989333333 1.31333416666667),CLEMENTI
0,POINT (103.76602 1.3132),CLEMENTI
0,POINT (103.766085833333 1.303165),CLEMENTI
0,POINT (103.76625 1.30782),CLEMENTI
0,POINT (103.76632 1.37786),BUKIT PANJANG
0,POINT (103.76634 1.30841),CLEMENTI
0,POINT (103.76639 1.42836),SUNGEI KADUT
0,POINT (103.76647 1.31277),CLEMENTI
0,POINT (103.766489833333 1.31936283333333),CLEMENTI
0,POINT (103.76666 1.38878),BUKIT PANJANG
0,POINT (103.76668 1.31263),CLEMENTI
0,POINT (103.76671 1.31516),CLEMENTI
0,POINT (103.766839166667 1.3764245),BUKIT PANJANG
0,POINT (103.766900166667 1.42974583333333),SUNGEI KADUT
0,POINT (103.76693 1.3888),BUKIT PANJANG
0,POINT (103.76696 1.31898),CLEMENTI
0,POINT (103.76707 1.36158),BUKIT BATOK
0,POINT (103.7671 1.312091),CLEMENTI
0,POINT (103.76729 1.36025),BUKIT PANJANG
0,POINT (103.76738 1.33961),BUKIT TIMAH
0,POINT (103.7675 1.36246),BUKIT PANJANG
0,POINT (103.76751 1.31433),CLEMENTI
0,POINT (103.767622833333 1.381316),BUKIT PANJANG
0,POINT (103.76763235 1.31329201666667),CLEMENTI
